source,run_id,scenario,model_name,batch_id,alpha,k,weighting,head_arch_rmb,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,index_vectors,eval_time_s,trainable_params,train_time_s,catatan,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best,test_accuracy,test_f1_macro,test_f1_class1,test_precision_class1,test_recall_class1
vast,1,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.0,1,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.22,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=1 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-07-25 09:54:59,,,,,,,
vast,2,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.0,3,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.14,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=3 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-07-25 09:54:59,0.0,True,,,,,
vast,3,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.0,5,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.09,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=5 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-07-25 09:54:59,0.0,True,,,,,
vast,4,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.0,10,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=10 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-07-25 09:54:59,0.0,True,,,,,
vast,5,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.0,20,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.07,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=20 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-07-25 09:54:59,0.0,True,,,,,
vast,6,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.0,50,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=50 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-07-25 09:54:59,0.0,True,,,,,
vast,7,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.1,1,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:54:59,0.0,True,,,,,
vast,8,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.1,3,similarity,mlp,0.962794,0.977889,0.96638,0.959304,0.939096,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:54:59,-0.2507,False,,,,,
vast,9,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.1,5,similarity,mlp,0.965195,0.979315,0.968799,0.961686,0.943026,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:54:59,-0.0106,True,,,,,
vast,10,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.1,10,similarity,mlp,0.965195,0.979315,0.968799,0.961686,0.943026,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:00,-0.0106,True,,,,,
vast,11,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.1,20,similarity,mlp,0.965195,0.979315,0.968799,0.961686,0.943026,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:00,-0.0106,True,,,,,
vast,12,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.1,50,similarity,mlp,0.963939,0.978602,0.968276,0.95974,0.940945,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:00,-0.1362,True,,,,,
vast,13,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.2,1,similarity,mlp,0.969995,0.982168,0.973637,0.96645,0.950884,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:00,0.4694,False,,,,,
vast,14,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.2,3,similarity,mlp,0.968651,0.981455,0.974556,0.962996,0.948617,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:00,-0.1344,True,,,,,
vast,15,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.2,5,similarity,mlp,0.969903,0.982168,0.975056,0.964941,0.95069,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:00,-0.0092,True,,,,,
vast,16,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.2,10,similarity,mlp,0.96624,0.980029,0.972114,0.960614,0.944664,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:00,-0.3755,False,,,,,
vast,17,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.2,20,similarity,mlp,0.96624,0.980029,0.972114,0.960614,0.944664,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:00,-0.3755,False,,,,,
vast,18,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.2,50,similarity,mlp,0.96498,0.979315,0.971606,0.958668,0.942574,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:00,-0.5015,False,,,,,
vast,19,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.3,1,similarity,mlp,0.967496,0.980742,0.972622,0.962559,0.946746,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.3 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:00,-0.2499,False,,,,,
vast,20,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.3,3,similarity,mlp,0.967294,0.980742,0.975522,0.959542,0.946322,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.3 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:01,-0.2701,False,,,,,
vast,21,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.3,5,similarity,mlp,0.967294,0.980742,0.975522,0.959542,0.946322,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.3 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:01,-0.2701,False,,,,,
vast,22,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.3,10,similarity,mlp,0.966135,0.980029,0.973556,0.959105,0.944444,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.3 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:01,-0.386,False,,,,,
vast,23,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.3,20,similarity,mlp,0.967294,0.980742,0.975522,0.959542,0.946322,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.3 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:01,-0.2701,False,,,,,
vast,24,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.3,50,similarity,mlp,0.966135,0.980029,0.973556,0.959105,0.944444,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.3 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:01,-0.386,False,,,,,
vast,25,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.4,1,similarity,mlp,0.968747,0.981455,0.973129,0.964505,0.948819,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.4 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:01,-0.1248,True,,,,,
vast,26,rmc,indobenchmark/indobert-base-p2,rmc_csv_20260725_095451,0.4,3,similarity,mlp,0.968554,0.981455,0.976013,0.961487,0.948413,6588,0.08,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.4 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-07-25 09:55:01,-0.1441,True,,,,,
