alpha,1,3,5,10,20,50
0.0,0.965301,0.965301,0.965301,0.965301,0.965301,0.965301
0.1,0.965301,0.962794,0.965195,0.965195,0.965195,0.963939
0.2,0.969995,0.968651,0.969903,0.96624,0.96624,0.96498
0.3,0.967496,0.967294,0.967294,0.966135,0.967294,0.966135
0.4,0.968747,0.968554,0.968554,0.968456,0.967192,0.967192
0.5,0.938222,0.965816,0.968358,0.965816,0.967089,0.963259
0.6,0.938222,0.965816,0.964314,0.959392,0.95913,0.95796
0.7,0.938222,0.960685,0.958228,0.955343,0.952709,0.947214
0.8,0.938222,0.941027,0.951699,0.952554,0.946223,0.936951
0.9,0.938222,0.939703,0.941413,0.946046,0.942377,0.921906
1.0,0.938222,0.939703,0.941413,0.943722,0.938314,0.907519
